presion_media,presion_min,presion_max,presion_desv,humedad_media,humedad_min,humedad_max,humedad_desv,viento_media,viento_min,viento_max,viento_desv,rafaga_media,rafaga_min,rafaga_max,rafaga_desv,viento_norte,viento_este,direccion_viento,registros_del_dia,anio,dia_del_anio,estacion_anio,mes,sector_viento,temp_max_manana,amplitud_presion,amplitud_humedad,amplitud_viento,velocidad_resultante
986.1106,980.97,990.97,3.2006,98.9958,,100.0,1.1007,8.05644,0.0,14.184,88.3,3.3226,0.0,5.5,-59.34,1.9919,0.9426,25.3231,144.0,2009.0,27.0,verano,noviembre,NE,-1.63,10.0,,14.184,2.20366975066592
992.824,990.85,995.12,1.3317,96.0736,89.8,100.0,3.8702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,2009.0,28.0,verano,septiembre,N,-1.74,4.269999999999982,10.200000000000003,0.0,0.0
996.851,995.02,998.83,1.2328,88.3306,82.5,95.0,3.4851,1.589,0.0,4.44,1.1156,2.7997,0.0,6.88,1.8484,0.7466,1.26,59.3524,144.0,2009.0,29.0,invierno,enero,NE,-1.84,3.810000000000059,12.5,4.44,1.4645857981012926
998.9144,997.48,1000.03,0.5527,80.9375,75.6,88.6,3.2773,2.1109,0.9,3.6,0.5995,3.7403,1.88,7.63,0.9137,0.9395,1.7367,61.5891,144.0,2009.0,30.0,invierno,enero,NE,-0.79,2.5499999999999545,13.0,2.7,1.9745346641677375
985.7607,982.74,989.86,1.8135,,75.9,94.6,4.1694,14.17968,4.248,24.12,1.33,6.1717,2.0,10.25,2.0702,2.7982,2.6972,43.9461,144.0,2009.0,32.0,verano,julio,,3.71,7.1200000000000045,18.69999999999999,19.872,3.886490843936211
973.8671,972.46,976.35,1.1087,88.1817,0.9931849145558738,63.26,9.5014,1.7377200000000002,16.57602889817402,,40.99,0.971,4.271406718859167,0.23612098,-25.465,-0.1624,-0.0542,198.4735,144.0,2009.0,34.0,verano,abril,S,4.89,3.8899999999999864,62.26681508544412,,0.17120572420336883
972.084,971.01,972.68,0.4541,91.9382,,,7.7782,3.0873600000000003,0.324,7.668,0.5055,1.4775,0.38,4.25,0.6789,-0.2618,-0.064,193.7441,144.0,2009.0,35.0,verano,agosto,S,6.43,1.669999999999959,,7.344,0.26950925772596385
972.0015,970.82,972.85,0.5615,85.9655,0.6865000000000001,98.7,10.6563,1.8062,0.73,1.9883872,0.5107,2.8342,6.672665530248407,0.9320565,0.6244,-1.6899,,186.4352,144.0,2009.0,36.0,invierno,febrero,S,9.12,2.0299999999999727,98.01350000000001,1.2583872,
968.3094,963.96,971.67,2.2298,82.0547,60.1,93.5,9.8233,1.3933,0.15,3.42,0.6936,2.3068,0.5,4.25,0.868,-0.6962,-0.1003,188.2003,144.0,2009.0,37.0,invierno,febrero,S,6.09,7.709999999999923,33.4,3.27,0.7033878944081993
961.9011,959.77,965.63,1.3918,86.2749,68.09,95.1,6.9473,4.61376,0.5040000000000001,13.752,0.8533,2.2036,0.63,5.75,1.2145,-0.4124,-0.7016,239.5515,144.0,2009.0,38.0,verano,febrero,SO,4.41,5.860000000000014,27.00999999999999,13.248000000000001,0.8138281882559734
973.6899,965.76,980.42,4.5123,74.4915,53.32,,,1.8748,0.46,3.34,0.7482,3.7619,1.25,8.0,1.5596,-0.2625,-1.5957,260.6586,144.0,2009.0,39.0,,febrero,O,3.01,14.659999999999968,,2.88,1.6171470990605645
979.9308,973.52,982.03,2.0426,73.16,0.5678,85.6,9.4777,3.2418,0.2,7.47,2.1283,4.684,0.63,10.25,2.8609,-2.9185,-1.106,200.7544,144.0,2009.0,40.0,verano,septiembre,S,7.06,8.509999999999991,85.03219999999999,7.27,3.1210380084196347
964.1137,958.84,973.46,4.0884,84.9585,67.87,98.5,8.6911,4.9952,1.54,12.96,2.6215,7.7501,2.63,18.38,3.8409,,-2.0308,206.289,144.0,2009.0,41.0,invierno,septiembre,SO,2.07,14.620000000000005,30.629999999999995,11.420000000000002,
979.3765,969.3,983.73,4.3935,79.437,0.5899,92.5,8.2159,2.9253,1.38,4.63,0.6902,5.7106,2.63,9.88,1.5916,-0.2685,-2.8414,264.6013,144.0,2009.0,42.0,invierno,julio,O,1.44,14.430000000000064,91.9101,3.25,2.8540578497991245
986.7699,983.22,989.49,2.1569,77.4697,58.27,92.1,9.6642,7.55532,2.772,14.868,69.17,3.7508,1.5,6.63,-59.175,0.3389,-1.4666,283.0129,144.0,2009.0,43.0,verano,marzo,O,1.48,6.269999999999982,33.82999999999999,12.096,1.5052470793859725
989.2739,,,,84.9241,68.02,94.8,9.0065,1.5179,0.13,2.98,0.7029,2.7109,0.38,6.13,1.2846,-0.2777,-1.3465,,144.0,2009.0,44.0,invierno,noviembre,O,-0.69,,26.78,2.85,1.3748380050027713
994.9869,,,3.6486,85.7458,73.5,94.2,5.2747,1.7072,0.39,2.71539127,0.9006,2.9835,0.63,3.80900423,1.2049,0.3487,-0.77,294.3656,144.0,2009.0,45.0,invierno,febrero,,-0.72,,20.700000000000003,2.32539127,0.8452761028208475
998.7019,993.95,1000.68,,0.811727,0.6393,91.8,9.1973,2.1507,0.27,5.23,1.2468,3.4513,0.63,7.63,1.8045,-1.5937,-0.9096,209.7145,144.0,2009.0,46.0,invierno,marzo,SO,2.41,6.7299999999999045,91.16069999999999,4.960000000000001,1.8350073160617097
991.0104,987.52,993.86,,87.4924,78.4,96.0,4.396,2.1819,0.55,3.0074356399999997,0.9802,3.813,1.38,5.12631075,1.5745,-1.0319,-1.3606,232.8224,144.0,2009.0,47.0,invierno,febrero,SO,0.17,6.340000000000032,17.599999999999994,2.45743564,1.7076445678184908
991.2978,985.32,999.06,4.5703,86.9204,0.6664,98.2,11.1089,2.8333,0.03,6.27,1.6456,4.419,0.25,9.75,2.2002,2.2588,0.8128,19.7903,144.0,2009.0,48.0,invierno,febrero,N,-0.19,13.739999999999895,97.5336,6.239999999999999,2.400587694711443
999.4128,998.55,1000.7,0.6099,78.7383,56.88,88.9,10.1606,1.4614,0.33,3.25,0.5324,2.6056,0.75,4.75,0.8357,0.0576,-0.8816,273.739,144.0,2009.0,49.0,verano,noviembre,O,1.66,2.150000000000091,32.02,2.92,0.8834796658667363
997.8533,996.98,998.72,0.5572,74.3589,49.33,90.9,13.7603,1.7452,8.71691139336653,,0.8722,2.7934,1.13,7.13,1.3969,-1.405,-0.6084,203.4127,144.0,2009.0,50.0,invierno,febrero,SO,2.53,1.740000000000009,41.57000000000001,,1.5310700702449904
996.7133,995.74,998.82,0.9071,94.2403,85.4,97.9,2.9842,1.8403,0.67,3.61,0.7226,3.1519,1.5,6.13,0.9341,-0.895,-1.1091,231.0953,,2009.0,51.0,invierno,febrero,SO,2.06,3.080000000000041,12.5,2.94,1.4251764136414833
1000.6467,998.81,1001.6,0.8104,94.1701,0.892,97.1,2.2714,1.5354,0.31,2.62,0.478,2.6912,0.75,5.13,0.8238,-0.2979,-1.4314,258.2434,144.0,2009.0,52.0,invierno,febrero,O,4.23,2.7900000000000773,96.208,2.31,1.4620705762718842
991.9282,987.55,999.68,3.536,94.6819,87.5,99.2,3.706,1.7647,0.29,2.1747985,0.6853,3.1822,0.63,4.81562525,1.2511,-1.0318,-0.9368,222.2369,144.0,2009.0,53.0,,febrero,SO,3.89,12.129999999999995,11.700000000000003,1.8847985,1.393630324009922
985.6422,984.07,988.89,1.2634,87.1854,79.9,96.5,4.7004,2.8842,1.05,6.66,,5.5652,2.75,9.75,1.3048,-0.2442,-2.584,264.6022,144.0,2009.0,54.0,invierno,febrero,O,0.36,4.819999999999936,16.599999999999994,5.61,2.595513367332174
995.7947,988.96,1001.17,3.9542,93.1153,88.8,96.3,1.3869,3.64284,0.0,12.204,0.7698,1.9135,0.0,5.38,1.4669,0.472,-0.1499,342.3869,144.0,2009.0,55.0,verano,abril,N,5.45,12.209999999999923,7.5,12.204,0.49523126920662025
999.9206,996.49,1001.71,1.702,81.9781,,98.7,13.8455,2.0062,0.0,3.15656468,1.5539,3.1381,0.0,4.27503248,2.2635,-1.6703,-0.9851,210.5319,144.0,2009.0,56.0,invierno,febrero,SO,5.96,5.220000000000027,,3.15656468,1.9391555120722008
990.586,,,2.8527,78.9006,,91.8,6.9455,10.60236,1.908,12.168929664000002,117.01,5.2672,1.5,8.88,-91.91,-2.0217,-2.0218,225.0018,144.0,2009.0,57.0,verano,julio,SO,6.29,,,10.260929664000003,2.859186270602179
987.7591,985.32,989.32,1.3345,87.8576,78.7,94.0,3.857,2.1535,0.51,3.89,0.7255,4.2082,10.078921678478178,1.5,1.4054,-0.6237,-2.011,252.7698,144.0,2009.0,58.0,invierno,febrero,O,8.1,4.0,15.299999999999997,3.38,2.1054982047012056
988.464,986.67,989.5,0.8298,92.6444,88.5,97.4,2.665,4.194,0.324,11.052,53.190000000000005,1.9408,0.38,4.63,-40.849999999999994,,-0.6143,216.4928,144.0,2009.0,59.0,verano,mayo,SO,12.17,2.830000000000041,8.900000000000006,10.728,
984.8683,982.88,986.78,1.1126,86.8758,59.67,97.5,11.5544,8.04168,0.972,10.73729088,81.31,3.4278,1.0,6.88,-56.24,-2.1506,0.2883,172.3635,144.0,2009.0,60.0,primavera,septiembre,S,7.87,3.8999999999999773,37.83,9.76529088,2.169838069995086
985.7242,984.01,989.49,1.668,87.7875,79.8,94.1,3.8228,7.394399999999999,2.556,7.941121379999999,0.6166,3.3632,1.63,3.728226,0.9107,-1.4392,,198.0279,144.0,2009.0,61.0,primavera,julio,S,8.79,5.480000000000018,14.299999999999997,5.385121379999999,
987.478,981.75,990.22,2.6279,74.6581,0.4582,95.8,17.7598,1.8038,0.1,5.04,1.1053,2.8524,0.5,7.13,1.5483,-1.3053,-0.8178,212.0676,144.0,2009.0,62.0,primavera,agosto,SO,10.26,8.470000000000027,95.34179999999999,4.94,1.5403262414177068
970.9461,962.67,981.57,5.7696,74.9337,0.5543,89.5,10.6076,9.15336,0.54,,1.837,4.0971,0.63,9.75,2.7248,-2.3734,0.188,175.4718,144.0,2009.0,,primavera,septiembre,S,6.36,18.90000000000009,88.9457,,2.3808342151439277
959.8607,958.67,962.54,0.8964,94.2944,86.0,97.8,2.8296,1.2908,0.04,3.45,0.787,2.2142,0.25,5.25,1.0716,1.1131,0.1826,9.3166,144.0,2009.0,64.0,primavera,julio,N,5.37,3.8700000000000045,11.799999999999997,3.41,1.127978000671999
966.1201,960.5,974.09,4.3143,97.6889,95.8,98.8,0.9211,1.9065,0.4,4.89,1.1719,2.9876,0.88,6.38,1.4344,1.395,0.1033,4.234,144.0,2009.0,65.0,primavera,marzo,N,3.35,13.590000000000032,3.0,4.489999999999999,1.398819462975834
981.5191,974.18,986.67,3.9282,92.3819,0.8490000000000001,97.3,3.8146,2.1013,0.89,3.56,0.5825,3.6407,1.25,6.25,1.0924,-0.5092,-1.9303,255.2218,144.0,2009.0,66.0,primavera,octubre,O,6.44,12.490000000000009,96.451,2.67,1.9963323195299925
980.1182,975.25,986.24,,88.5472,73.5,98.6,8.0668,3.2713,0.48,9.76,2.0186,4.9997,1.25,12.75,2.8387,-2.9175,-1.0995,200.6488,144.0,2009.0,67.0,,marzo,S,6.41,10.990000000000009,25.099999999999994,9.28,3.1178047565554836
980.0093,975.24,984.44,3.0705,74.4285,56.69,97.0,11.2405,,0.27,6.77,1.0008,4.8608,0.75,,1.8873,-1.3009,-2.1577,238.9135,144.0,2009.0,68.0,primavera,junio,SO,5.58,9.200000000000045,40.31,6.5,2.519525768870007
981.9172,977.33,985.07,3.0183,80.5678,69.46,93.5,7.0047,3.6012,0.32,7.49,1.9073,5.5859,0.75,11.0,2.4751,-2.8383,-2.0031,215.2126,,2009.0,69.0,primavera,marzo,SO,6.06,7.740000000000009,24.040000000000006,7.17,3.4739540152396953
989.1622,978.63,995.38,5.0818,83.8916,0.5966,96.6,10.3265,2.3262,1.23,3.37,0.475,4.1622,2.0,6.13,,-0.2467,-2.2436,263.7253,144.0,2009.0,70.0,primavera,marzo,O,5.91,16.75,96.0034,2.14,2.257122471200887
991.4599,987.5,994.31,2.2914,74.1331,51.1,91.4,12.4783,8.90316,1.0080000000000002,,0.823,4.3506,0.88,7.75,1.5804,-0.3368,-2.3271,261.7639,144.0,2009.0,72.0,primavera,octubre,O,10.36,6.809999999999945,40.300000000000004,,2.3513461357273626
,988.47,994.22,1.9368,78.9625,57.48,97.0,13.9071,2.0497,0.18,5.78,1.3149,3.1649,0.63,7.63,1.7863,-1.8129,-0.4786,194.7897,144.0,2009.0,73.0,primavera,marzo,S,7.56,5.75,39.52,5.6000000000000005,1.8750104986372742
994.909,,,3.4922,87.7937,80.4,93.5,3.4041,2.1475,0.27,4.03,0.5528,4.0512,0.63,7.5,1.0709,-0.4622,-2.0583,,144.0,2009.0,74.0,primavera,marzo,O,8.26,,13.099999999999994,3.7600000000000002,2.1095562874690024
1004.1262,1001.3,1005.45,1.162,84.9424,71.8,95.6,7.6103,5.282640000000001,,,0.5406,2.4192,0.75,3.88,0.7635,-0.2898,-1.1968,256.3882,144.0,2009.0,75.0,primavera,octubre,O,10.74,4.150000000000091,23.799999999999997,,1.231387136525309
1003.5888,1002.29,1005.25,0.6917,71.8037,52.09,85.8,11.4856,2.0687,0.3,3.83,0.7326,3.8514,0.63,7.75,1.5902,-0.2822,-1.9248,261.6596,144.0,2009.0,76.0,primavera,marzo,O,9.31,2.9600000000000364,33.709999999999994,3.5300000000000002,1.9453770534269188
1002.7473,998.71,1005.49,2.3902,63.986,39.86,,14.3719,,0.99,4.16,0.6611,4.3612,1.63,7.13,1.067,-0.4503,-2.3854,259.3108,144.0,2009.0,77.0,,marzo,O,4.91,6.779999999999973,,3.17,2.427530277875026
998.2676,995.9,1002.15,1.7116,70.2421,49.9,94.4,10.2189,2.7769,0.43,8.8,1.4432,4.5787,1.0,12.75,2.2235,1.6429,-0.1547,354.6191,144.0,2009.0,78.0,primavera,marzo,N,2.58,6.25,44.50000000000001,8.370000000000001,1.6501674157490809
1000.6249,996.56,1004.03,2.4457,0.58055599999999,0.9011985492159702,34.37,18.5243,1.3211,0.07,2.09402027,0.7855,2.3456,0.25,3.96434698,1.4293,-0.6824,-0.5823,220.4721,144.0,2009.0,80.0,primavera,marzo,SO,8.51,7.470000000000027,33.46880145078403,2.0240202700000003,0.8970747181812673
993.3515,991.02,996.44,1.2021,,50.55,79.7,7.1901,2.509,0.35,4.81,1.1984,5.025,0.75,11.25,2.3637,-0.5943,-2.0699,253.9809,144.0,2009.0,81.0,primavera,septiembre,O,8.04,5.420000000000073,29.150000000000006,4.46,2.1535269907758297
979.8688,,990.94,6.9318,74.6413,59.61,91.1,8.5502,3.9168,1.72,4.93989945,1.1799,7.7411,3.88,9.55668598,2.3349,-1.5802,-3.4613,245.4612,144.0,2009.0,82.0,primavera,mayo,,6.45,,31.489999999999995,3.2198994500000007,3.804948058778201
975.8044,970.83,982.73,3.9892,76.2591,48.36,93.3,9.4258,10.38312,3.06,26.928,101.43,5.5656,1.75,13.13,-106.185,-0.0346,-2.4987,269.2076,144.0,2009.0,83.0,primavera,octubre,O,2.45,11.899999999999977,44.94,23.868000000000002,2.4989395450870755
976.1547,970.82,982.52,4.4466,83.0331,63.84,96.8,9.2778,9.64836,1.584,16.598062152,1.5224,3.9914,0.88,6.915859230000001,2.2045,-2.235,-0.5869,194.7128,144.0,2009.0,84.0,primavera,marzo,S,7.62,11.699999999999932,32.959999999999994,15.014062152000001,2.310774028329036
977.152,973.14,980.24,2.0617,81.0869,0.991475428067219,60.17,11.4739,14.03964,1.98,18.253394496,1.8925,5.9714,0.88,7.30110925,2.5704,-2.8757,,217.8908,144.0,2009.0,85.0,primavera,octubre,SO,8.51,7.100000000000023,59.17852457193278,16.273394495999998,
972.9165,969.69,977.02,2.0005,77.2399,62.78,87.9,6.5013,3.7899,0.32,9.36,2.1155,5.7951,0.88,13.63,,-3.3033,-1.2771,201.137,144.0,2009.0,87.0,,marzo,S,8.85,7.329999999999927,25.120000000000005,9.04,3.541578080460743
981.1278,977.03,987.04,2.8423,69.139,0.4987,83.0,10.7472,2.008,,4.46,1.1412,3.2275,0.5,7.0,1.3501,-0.531,-1.0106,242.2807,144.0,2009.0,88.0,primavera,noviembre,SO,8.27,10.009999999999991,82.5013,,1.141609985940908
992.8499,987.15,997.17,2.9925,77.3629,57.77,89.6,9.3161,1.2547,0.02,3.81,0.9989,2.2049,0.25,5.88,1.475,0.7717,0.4761,31.6731,144.0,2009.0,89.0,,marzo,NE,11.76,10.019999999999982,31.82999999999999,3.79,0.9067480907065645
996.6424,994.59,998.62,1.41,72.89,43.15,97.5,20.8353,1.4706,0.1,4.15,1.2154,2.5649,0.38,6.88,1.9633,0.5333,0.7459,54.4351,144.0,2009.0,90.0,,marzo,NE,13.38,4.029999999999973,54.35,4.050000000000001,0.9169382203834673
993.8551,992.71,994.64,0.4819,61.85849999999999,0.3676,93.6,19.458,10.22688,0.396,23.328000000000003,203.84000000000003,4.7131,0.38,11.38,-162.86499999999998,1.7615,1.9371,47.7183,144.0,2009.0,91.0,primavera,noviembre,NE,16.28,1.92999999999995,93.2324,22.932000000000002,2.618251068938959
993.4159,991.72,994.64,1.1351,59.4576,0.4623,75.6,9.0151,3.7023,0.84,6.31,1.2481,5.6815,1.5,9.88,1.9878,2.8667,1.3277,,144.0,2009.0,92.0,primavera,diciembre,NE,22.37,2.919999999999959,75.1377,5.47,3.1592334798175328
990.4504,988.25,991.95,1.2454,61.7311,31.72,93.7,20.8908,,0.01,2.5041251300000003,1.0089,2.4016,0.13,4.0389115,1.5046,-1.246,0.0341,178.4311,144.0,2009.0,93.0,primavera,enero,S,19.58,3.7000000000000455,61.980000000000004,2.4941251300000005,1.2464665298354385
991.279,990.37,993.8,0.9931,69.9707,51.79,94.2,14.4179,1.2469,0.13,2.19965334,0.7741,2.4071,0.5,4.0389115,1.4752,,-0.5709,242.1577,144.0,2009.0,94.0,primavera,abril,SO,14.39,3.42999999999995,42.410000000000004,2.06965334,
995.4567,993.9,997.11,0.7757,77.9346,63.31,92.2,8.5367,5.41656,0.396,10.558336032,94.94,2.5465,0.38,3.728226,-62.665000000000006,0.9453,0.7096,36.8948,144.0,2009.0,95.0,primavera,enero,NE,18.88,3.2100000000000364,28.89,10.162336031999999,1.1820001057529563
990.0981,985.82,994.91,3.3268,75.2866,53.08,93.5,14.4224,1.0392,0.04,3.41,0.818,1.9045,7.744997248411672,0.25,1.3224,0.0689,0.3991,80.2078,144.0,2009.0,96.0,primavera,abril,E,22.1,9.089999999999918,40.42,3.37,0.4050037283779002
986.8988,985.25,988.85,0.944,68.2899,48.64,91.6,14.2384,2.3315,0.28,7.31,1.6071,3.63,0.75,10.38,2.4871,-1.7213,-1.285,,144.0,2009.0,98.0,,abril,SO,16.97,3.6000000000000227,42.959999999999994,7.029999999999999,2.1480453184232404
989.7985,988.77,991.32,0.8131,68.0445,54.04,86.2,9.306,1.497,0.03,3.51,0.8495,2.4319,0.25,5.38,1.1638,-0.0077,0.1777,92.4666,144.0,2009.0,99.0,primavera,abril,E,23.16,2.550000000000068,32.160000000000004,3.48,0.17786674787604342
984.9312,981.38,988.79,2.5773,66.899,33.16,97.0,22.794,1.4774,0.13,2.57247594,1.0576,2.7949,0.5,4.6602825,1.9819,-0.2198,0.7829,105.6796,144.0,2009.0,100.0,primavera,agosto,E,22.01,7.409999999999968,63.84,2.44247594,0.8131693857985556
982.5188,981.82,983.7,0.5194,65.584,39.63,94.0,14.8967,2.0612,0.0,5.32,1.4782,3.2619,0.0,8.13,2.1625,1.5561,0.9434,31.2261,144.0,2009.0,101.0,primavera,abril,NE,20.05,1.8799999999999955,54.37,5.32,1.8197392038421332
983.8507,982.99,984.57,,61.6245,38.67,93.8,16.8423,7.56288,0.108,20.016,1.5239,3.2803,11.471043502039386,0.25,2.1731,1.7317,0.8097,25.0601,144.0,2009.0,102.0,primavera,noviembre,NE,19.77,1.580000000000041,55.129999999999995,19.907999999999998,1.9116482364702978
982.3281,980.64,,1.1272,66.4616,44.35,93.8,16.218,5.833080000000001,0.072,20.16,1.5538,2.5676,0.25,7.38,2.1107,1.0379,0.6905,33.6354,144.0,2009.0,103.0,primavera,enero,NE,20.56,,49.449999999999996,20.088,1.2466060564588959
982.4517,981.77,983.84,0.5637,66.2371,40.89,93.6,17.513,5.454359999999999,,,1.457,2.5178,0.13,4.74106073,2.1433,0.8628,0.6292,36.1019,144.0,2009.0,104.0,primavera,febrero,NE,22.09,2.07000000000005,52.709999999999994,,1.0678560202574128
983.9859,982.88,985.06,0.64,56.6661,0.3051,93.9,23.5907,1.7886,0.03,4.7,1.3757,3.1769,0.38,8.13,2.3162,-0.0465,0.8818,93.0183,144.0,2009.0,105.0,primavera,abril,E,22.42,2.17999999999995,93.59490000000001,4.67,0.8830251921661125
